time,linear,angular
2024/06/27 13:23:45.668515506,"{'x': 1.2588671151185906, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5923969692453417}"
2024/06/27 13:23:45.733651938,"{'x': 1.2698389348674712, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5431354097024528}"
2024/06/27 13:23:45.785649139,"{'x': 1.294063053607522, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.49975647337283924}"
2024/06/27 13:23:45.837569599,"{'x': 1.295211605756574, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4740362684804822}"
2024/06/27 13:23:45.891424550,"{'x': 1.3144062410048238, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4590855211555178}"
2024/06/27 13:23:45.944157193,"{'x': 1.3192258257285305, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.409426443406014}"
2024/06/27 13:23:45.996789507,"{'x': 1.3377061341734182, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3825617032525157}"
2024/06/27 13:23:46.53986505,"{'x': 1.3411828501346548, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3432918117201913}"
2024/06/27 13:23:46.127529965,"{'x': 1.358980102650264, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3188449580224546}"
2024/06/27 13:23:46.194170245,"{'x': 1.3744299422870128, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.2708369208826831}"
2024/06/27 13:23:46.259772826,"{'x': 1.3805404973008126, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.24730528813453923}"
2024/06/27 13:23:46.316109709,"{'x': 1.3977876972607342, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.20242567084019303}"
2024/06/27 13:23:46.367084371,"{'x': 1.396600406371898, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.18974959565077842}"
2024/06/27 13:23:46.418611305,"{'x': 1.411617899168478, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.14962548554149446}"
2024/06/27 13:23:46.472511648,"{'x': 1.4118625563146687, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.1291551215304798}"
2024/06/27 13:23:46.539100155,"{'x': 1.4268010735470322, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.0915738949786773}"
2024/06/27 13:23:46.593118532,"{'x': 1.4243981947193367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.07309067750187914}"
2024/06/27 13:23:46.643171065,"{'x': 1.4376996921648508, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.03745569936354087}"
2024/06/27 13:23:46.695326221,"{'x': 1.435675441514319, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.02100971394795703}"
2024/06/27 13:23:46.747561659,"{'x': 1.4454010308274703, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.010440354747002445}"
2024/06/27 13:23:46.799894436,"{'x': 1.4451464184598954, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.024661456508956903}"
2024/06/27 13:23:46.852178403,"{'x': 1.4535862253324447, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.03722285603731468}"
