time,header,pose
2024/06/27 13:19:38.497624312,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891043393435, 'y': -21.799987737017627, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01540580781311578, 'w': 0.999881323500757}}"
2024/06/27 13:19:38.550710832,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891131665889, 'y': -21.799987812949826, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015407721748164344, 'w': 0.9998812940097095}}"
2024/06/27 13:19:38.605425702,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891185214864, 'y': -21.799987802388266, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015408684029381474, 'w': 0.999881279180925}}"
2024/06/27 13:19:38.658574128,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891287573148, 'y': -21.799987751237257, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015410576089074805, 'w': 0.9998812500215227}}"
2024/06/27 13:19:38.709920642,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891377045319, 'y': -21.799987796196245, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015411506761205323, 'w': 0.9998812356771924}}"
2024/06/27 13:19:38.764097078,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.85089145893778, 'y': -21.799987802319624, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015413415890513574, 'w': 0.9998812062493154}}"
2024/06/27 13:19:38.816731169,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891497933203, 'y': -21.799987768812922, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015414395133196264, 'w': 0.9998811911535679}}"
2024/06/27 13:19:38.869939112,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891612337941, 'y': -21.799987774586526, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015416294662247438, 'w': 0.9998811618681926}}"
2024/06/27 13:19:38.921597235,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891710999967, 'y': -21.799987796011244, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015417199817262068, 'w': 0.9998811479119879}}"
2024/06/27 13:19:38.974959690,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891757044096, 'y': -21.79998780192918, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015418161264615132, 'w': 0.9998811330869376}}"
